Year,Belgium,Bulgaria,Czech Republic,Denmark,Germany,Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,United Kingdom,Iceland,Liechtenstein,Norway,Switzerland,Montenegro,Former Yugoslav Republic of Macedonia,Albania,Serbia,Turkey,Belarus,Bosnia and Herzegovina,Moldova,Russia,San Marino,United States,Kyrgyzstan,Tajikistan,Uzbekistan,Armenia,Azerbaijan
2005,132810,:,60294,52458,707352,1436,102000,70933,719284,:,:,304960,10320,6691,6789,14397,27820,2075,92297,114465,9364,21741,:,15041,5276,21355,65229,:,7773,:,40148,118270,:,2671,:,:,:,:,:,:,177230,:,:,:,:,:,:,:
2006,137699,:,68183,56750,661855,2234,139434,63094,840844,301544,14978,279714,13077,8212,7745,14352,25732,3889,101150,98535,10802,22741,:,20016,5589,22451,95750,529008,9832,:,45776,127586,:,2077,:,:,:,:,:,:,186380,:,:,3420,1042,6418,1335,:
2007,146409,1561,104445,64656,680766,3741,122415,63298,958266,293980,14622,527123,19328,7517,8609,16675,24361,5292,116819,72862,14995,29661,:,29193,8624,26029,99485,526714,12546,:,61774,165634,:,1320,:,:,:,14155,5620,2070,286970,429,:,3960,:,:,1112,1954
2008,:,:,108267,57357,682146,3671,82592,66529,599075,296608,16883,534712,21060,4678,9297,17758,37652,6043,143516,73772,15275,29718,138929,30693,8765,29114,101171,590242,10288,578,58123,184297,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
2009,:,:,75620,51800,346216,3884,50604,58613,392962,296970,13213,442940,22581,3731,6487,15751,27894,6161,122917,69295,189166,32307,135844,30296,6346,26699,102280,566514,3921,584,55953,160623,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
2010,135281,:,48317,52236,404055,2810,52339,60462,360705,307111,8846,458856,20206,4011,5213,16962,25519,4275,126776,70978,155131,27575,149885,15416,5272,25636,98801,590950,3948,591,69214,161778,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
2011,147377,:,27114,52833,489422,3709,57292,60089,371331,319816,8534,385793,23037,10234,15685,20268,28018,5465,130118,82230,157059,19667,147685,14083,4829,29481,96467,566044,4073,650,70337,148799,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
2012,129477,14103,34337,54409,592175,2639,61324,58200,304053,327431,8959,350772,17476,13303,19843,20478,33702,8256,124566,91557,217546,14606,167266,15022,5419,31278,103059,498040,4960,671,69908,149051,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
2013,120078,18570,30124,60312,692713,4109,65539,57946,280772,338752,10378,307454,13149,8299,22011,21098,38968,10897,129428,101866,220311,17554,153646,13871,5149,31941,115845,526046,6406,696,68313,160157,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
2014,123158,26615,29897,68388,884893,3904,73519,59013,305454,340383,10638,277631,9212,10365,24294,22332,54581,14454,145323,116262,222275,19516,136035,13846,5357,31507,126966,631991,5368,615,66903,156282,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
2015,146626,25223,29602,78492,1543848,15413,80792,64446,342114,364221,11706,280078,15183,9479,22130,23803,58344,16936,166872,166323,218147,29896,132795,15420,6997,28746,134240,631452,5635,657,60816,153627,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
2016,123702,21241,64083,74383,1029852,14822,85185,116867,414746,378115,13985,300823,17391,8345,20162,22888,53618,17051,189232,129509,208302,29925,137455,16623,7686,34905,163005,588993,8710,607,61460,149305,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
