Month,Canada,USA,Austria,Belgium,Denmark,France,Netherlands,Italy,Norway,Spain,Sweden,Switzerland,UK,Germany,Russia,Ukraine,Czech_Republic,Poland,South_Africa,Saudi_Arabia,UAE,Isreal,Kuwait,Oman,China,Japan,Malaysia,Philippines,Indonesia,Singapore,Thailand,South_Korea,India,Maldives,Pakistan,Bangladesh,Australia,New_Zealand
TOTAL,44122,54254,16995,14387,18097,96440,41373,29791,12790,19425,21589,26282,188159,133275,58176,31302,17858,14432,5208,38836,8475,10391,5726,13268,271577,43110,24727,12747,15297,18602,10880,14283,356729,95167,29965,17098,74496,9045
January,4016,5144,2463,1285,2892,9878,3194,4131,1164,984,3715,2483,16253,12760,8358,4662,2576,2067,322,3813,562,768,961,1764,26083,3134,1532,903,1118,687,2105,1868,28895,6908,2298,1130,7084,658
February,3521,4851,2917,1552,3029,14602,3555,3607,1336,1054,3277,2580,19194,14426,6958,4261,3330,2167,327,1075,287,921,368,558,32186,4726,2155,989,1816,1388,670,1322,26559,5780,1648,1081,4421,507
March,3900,5265,1949,1639,2216,11175,2442,2683,1318,1587,2339,2122,21430,16264,5916,2979,2443,1289,562,3636,641,459,410,613,19645,4074,2071,1175,2010,1752,919,1194,30170,9006,2716,1060,6158,673
April,2962,3408,774,675,679,7518,2496,1455,496,856,771,1870,12006,8065,4081,2338,1222,943,273,1372,363,972,409,632,18972,3172,1509,991,1581,1023,754,749,25890,6706,2260,1258,4699,592
May,3319,3538,596,377,490,3281,1458,1010,374,719,416,966,8412,7591,1756,1213,357,435,315,2279,507,302,394,727,16004,2233,2118,1113,2090,1440,809,914,34259,7441,2504,1265,3446,585
June,4111,3917,395,586,1096,3659,1711,1390,1825,735,859,1208,9406,5461,1608,755,530,466,344,400,132,408,207,105,19952,2674,1976,1003,724,1718,606,909,27068,4722,1459,1022,5760,640
July,5330,4919,1456,2705,2632,10949,9755,2418,2260,2371,937,5540,23948,10971,2269,1014,1124,810,424,7514,2021,1007,761,3812,30631,3633,2395,1057,566,1339,913,1231,27665,8203,3252,2175,7089,1022
August,5044,4061,1232,1511,783,10805,4726,4517,644,3888,498,1672,20475,12224,2511,1164,885,817,300,9338,1297,1328,779,2662,27519,5179,1817,949,497,1561,839,1296,24418,6739,3171,1110,6235,747
September,2527,3276,649,1180,502,5008,2915,1392,504,1846,466,1432,12288,10101,2353,1413,941,842,454,4057,1130,1055,630,693,22111,4032,2188,1156,707,1465,577,1001,27241,8385,2523,1742,5997,824
October,2345,3432,1063,688,921,5849,2272,1274,808,1758,1305,2103,10964,12246,4726,2782,791,745,308,1290,286,1585,211,541,20566,2845,1727,1136,783,1196,1044,1173,36471,5417,2266,1665,4103,564
November,2447,4223,1422,839,896,5845,2941,1803,877,1691,1943,1695,13337,11172,8461,4323,1755,2045,292,3052,424,518,219,580,18590,2702,2376,1228,1225,1963,820,1386,30148,9948,2869,1959,5481,689
December,4600,8220,2079,1350,1961,7871,3908,4111,1184,1936,5063,2611,20446,11994,9179,4398,1904,1806,1287,1010,825,1068,377,581,19318,4706,2863,1047,2180,3070,824,1240,37945,15912,2999,1631,14023,1544
